,quantity,dates,stock_id,symbol_id
0,2000,2023-08-17,143,339
1,9725,2023-08-17,143,340
2,13415,2023-08-17,143,224
3,24103,2023-08-17,143,220
4,20000,2023-08-17,143,229
5,62678,2023-08-17,143,216
6,7500,2023-08-17,143,226
7,7494,2023-08-17,143,223
8,35023,2023-08-17,143,213
9,5800,2023-08-17,143,214
10,12801,2023-08-17,143,227
11,63371,2023-08-17,143,264
12,149,2023-08-17,143,222
13,10321,2023-08-17,143,338
14,19295,2023-08-17,143,337
15,14549,2023-08-17,143,217
16,5128,2023-08-17,143,347
17,64854,2023-08-17,143,230
18,36232,2023-08-17,143,219
19,6743,2023-08-17,26,339
20,25811,2023-08-17,26,340
21,34882,2023-08-17,26,220
22,12313,2023-08-17,26,216
23,1,2023-08-17,26,228
24,27871,2023-08-17,26,226
25,29466,2023-08-17,26,223
26,203009,2023-08-17,26,215
27,20582,2023-08-17,26,233
28,42579,2023-08-17,26,227
29,15514,2023-08-17,26,222
30,3852,2023-08-17,26,338
31,52576,2023-08-17,26,337
32,8429,2023-08-17,26,217
33,11780,2023-08-17,26,346
34,49399,2023-08-17,26,232
35,41559,2023-08-17,26,211
36,50941,2023-08-17,26,225
37,42513,2023-08-17,26,230
38,11365,2023-08-17,18,339
39,7995,2023-08-17,18,340
40,54268,2023-08-17,18,218
41,21369,2023-08-17,18,224
42,17540,2023-08-17,18,229
43,80806,2023-08-17,18,228
44,66140,2023-08-17,18,213
45,37027,2023-08-17,18,233
46,54259,2023-08-17,18,214
47,24389,2023-08-17,18,227
48,14859,2023-08-17,18,222
49,22686,2023-08-17,18,217
50,48597,2023-08-17,18,232
51,83067,2023-08-17,18,211
52,38731,2023-08-17,18,225
53,35033,2023-08-17,18,230
54,43789,2023-08-17,18,219
55,167182,2023-08-17,18,212
56,22896,2023-08-17,6,339
57,2126,2023-08-17,6,340
58,39129,2023-08-17,6,218
59,60046,2023-08-17,6,304
60,53025,2023-08-17,6,224
61,20000,2023-08-17,6,220
62,55723,2023-08-17,6,229
63,54107,2023-08-17,6,216
64,39962,2023-08-17,6,294
65,9218,2023-08-17,6,228
66,40861,2023-08-17,6,312
67,2090,2023-08-17,6,296
68,38845,2023-08-17,6,233
69,32134,2023-08-17,6,214
70,31776,2023-08-17,6,264
71,1886,2023-08-17,6,222
72,15170,2023-08-17,6,337
73,27949,2023-08-17,6,217
74,29392,2023-08-17,6,347
75,2000,2023-08-17,6,346
76,40511,2023-08-17,6,232
77,13000,2023-08-17,6,225
78,55445,2023-08-17,6,230
79,31500,2023-08-17,6,219
80,11434,2023-08-17,33,339
81,51362,2023-08-17,33,218
82,13393,2023-08-17,33,304
83,27803,2023-08-17,33,224
84,39280,2023-08-17,33,220
85,30000,2023-08-17,33,333
86,33274,2023-08-17,33,229
87,34559,2023-08-17,33,216
88,26633,2023-08-17,33,294
89,88064,2023-08-17,33,228
90,8588,2023-08-17,33,312
91,30693,2023-08-17,33,313
92,63133,2023-08-17,33,213
93,2308,2023-08-17,33,215
94,73557,2023-08-17,33,336
95,37918,2023-08-17,33,233
96,85873,2023-08-17,33,221
97,57832,2023-08-17,33,214
98,27488,2023-08-17,33,227
99,59792,2023-08-17,33,264
100,10000,2023-08-17,33,222
101,1000,2023-08-17,33,338
102,27168,2023-08-17,33,337
103,30257,2023-08-17,33,217
104,28204,2023-08-17,33,211
105,4951,2023-08-17,33,225
106,6548,2023-08-17,33,219
107,49612,2023-08-17,33,212
108,17510,2023-08-17,17,339
109,91848,2023-08-17,17,218
110,66686,2023-08-17,17,224
111,84298,2023-08-17,17,220
112,37800,2023-08-17,17,333
113,147204,2023-08-17,17,229
114,112386,2023-08-17,17,216
115,76333,2023-08-17,17,228
116,51243,2023-08-17,17,312
117,60861,2023-08-17,17,226
118,58899,2023-08-17,17,223
119,117342,2023-08-17,17,313
120,100183,2023-08-17,17,213
121,95154,2023-08-17,17,233
122,148423,2023-08-17,17,221
123,94250,2023-08-17,17,227
124,60804,2023-08-17,17,222
125,68214,2023-08-17,17,217
126,91332,2023-08-17,17,232
127,42107,2023-08-17,17,211
128,94668,2023-08-17,17,225
129,102957,2023-08-17,17,230
130,82722,2023-08-17,17,219
131,24711,2023-08-17,17,212
132,2567,2023-08-17,288,339
133,46838,2023-08-17,288,218
134,31439,2023-08-17,288,224
135,7000,2023-08-17,288,220
136,33090,2023-08-17,288,333
137,36616,2023-08-17,288,229
138,23318,2023-08-17,288,228
139,20628,2023-08-17,288,226
140,33622,2023-08-17,288,223
141,9258,2023-08-17,288,213
142,55834,2023-08-17,288,336
143,20001,2023-08-17,288,227
144,10000,2023-08-17,288,222
145,4646,2023-08-17,288,338
146,26359,2023-08-17,288,217
147,2500,2023-08-17,288,346
148,88588,2023-08-17,288,232
149,58249,2023-08-17,288,211
150,115722,2023-08-17,288,225
151,57000,2023-08-17,288,230
152,16483,2023-08-17,288,212
153,12447,2023-08-17,11,339
154,16050,2023-08-17,11,340
155,72175,2023-08-17,11,218
156,44325,2023-08-17,11,224
157,44009,2023-08-17,11,229
158,13500,2023-08-17,11,216
159,38000,2023-08-17,11,294
160,81738,2023-08-17,11,228
161,33490,2023-08-17,11,226
162,30799,2023-08-17,11,223
163,13500,2023-08-17,11,213
164,133793,2023-08-17,11,215
165,38364,2023-08-17,11,227
166,12456,2023-08-17,11,222
167,26500,2023-08-17,11,346
168,156606,2023-08-17,11,232
169,65081,2023-08-17,11,211
170,59102,2023-08-17,11,225
171,77981,2023-08-17,11,230
172,74609,2023-08-17,11,219
173,283362,2023-08-17,11,212
174,2000,2023-08-17,10,339
175,7296,2023-08-17,10,218
176,19960,2023-08-17,10,224
177,19630,2023-08-17,10,229
178,18376,2023-08-17,10,294
179,34111,2023-08-17,10,228
180,87201,2023-08-17,10,221
181,1000,2023-08-17,10,214
182,61322,2023-08-17,10,264
183,6717,2023-08-17,10,222
184,68725,2023-08-17,10,338
185,77921,2023-08-17,10,337
186,53624,2023-08-17,10,217
187,15000,2023-08-17,10,346
188,5475,2023-08-17,10,225
189,6800,2023-08-17,113,339
190,7567,2023-08-17,113,340
191,4970,2023-08-17,113,218
192,5497,2023-08-17,113,304
193,30000,2023-08-17,113,224
194,29015,2023-08-17,113,229
195,19417,2023-08-17,113,228
196,4309,2023-08-17,113,312
197,8302,2023-08-17,113,226
198,4500,2023-08-17,113,223
199,13035,2023-08-17,113,313
200,9362,2023-08-17,113,213
201,2695,2023-08-17,113,296
202,43190,2023-08-17,113,336
203,39694,2023-08-17,113,221
204,20193,2023-08-17,113,338
205,9025,2023-08-17,113,217
206,2170,2023-08-17,113,347
207,12500,2023-08-17,113,346
208,8524,2023-08-17,113,211
209,8255,2023-08-17,27,339
210,32535,2023-08-17,27,218
211,30274,2023-08-17,27,220
212,50544,2023-08-17,27,229
213,71093,2023-08-17,27,216
214,96417,2023-08-17,27,228
215,73914,2023-08-17,27,313
216,45373,2023-08-17,27,213
217,17268,2023-08-17,27,227
218,12160,2023-08-17,27,222
219,5000,2023-08-17,27,346
220,81788,2023-08-17,27,232
221,63397,2023-08-17,27,211
222,48295,2023-08-17,27,225
223,11,2023-08-17,27,230
224,13156,2023-08-17,40,339
225,18115,2023-08-17,40,340
226,7945,2023-08-17,40,218
227,16813,2023-08-17,40,304
228,24105,2023-08-17,40,224
229,36603,2023-08-17,40,220
230,45544,2023-08-17,40,333
231,33550,2023-08-17,40,229
232,12134,2023-08-17,40,216
233,49372,2023-08-17,40,228
234,3929,2023-08-17,40,312
235,11114,2023-08-17,40,226
236,6246,2023-08-17,40,223
237,54231,2023-08-17,40,213
238,18983,2023-08-17,40,296
239,60076,2023-08-17,40,336
240,36963,2023-08-17,40,233
241,80190,2023-08-17,40,221
242,1000,2023-08-17,40,214
243,45489,2023-08-17,40,227
244,63199,2023-08-17,40,264
245,10000,2023-08-17,40,222
246,38762,2023-08-17,40,337
247,54854,2023-08-17,40,217
248,32344,2023-08-17,40,211
249,13003,2023-08-17,40,225
250,33948,2023-08-17,40,212
251,5100,2023-08-17,22,339
252,21137,2023-08-17,22,340
253,149012,2023-08-17,22,218
254,16705,2023-08-17,22,224
255,54512,2023-08-17,22,220
256,77055,2023-08-17,22,229
257,23140,2023-08-17,22,294
258,214266,2023-08-17,22,228
259,1,2023-08-17,22,223
260,34884,2023-08-17,22,213
261,51318,2023-08-17,22,215
262,89037,2023-08-17,22,214
263,105659,2023-08-17,22,227
264,72221,2023-08-17,22,264
265,112906,2023-08-17,22,222
266,6150,2023-08-17,22,338
